location,State,County,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,new_county
"Hawaii, Hawaii",Hawaii,Hawaii,"Hawaii, Hawaii",149244,151690,154576,158442,162852,168237,173536,177733,181506,183629,"185,363","187,079","189,161","191,459","193,711","195,975","198,316",Hawaii
"Hawaii, Honolulu",Hawaii,Honolulu,"Hawaii, Honolulu",876629,882755,890473,894311,907997,918181,926954,925335,933680,943177,"956,285","967,336","977,994","986,059","987,414","991,064","992,268",Honolulu
"Hawaii, Kauai",Hawaii,Kauai,"Hawaii, Kauai",58568,59075,59981,60805,62095,62863,63465,64490,65603,66518,"67,205","67,888","68,671","69,632","70,288","71,021","71,537",Kauai
"Hawaii, Maui",Hawaii,Maui,"Hawaii, Maui",128933,132290,134450,137469,140508,143334,145667,148012,151325,153300,"155,020","156,936","158,889","161,004","163,036","163,904","165,350",Maui
"Idaho, Ada",Idaho,Ada,"Idaho, Ada",303328,313896,321616,327393,334926,348755,363498,375368,382618,388577,"393,354","401,262","408,862","415,951","425,471","432,862","444,486",Ada
"Idaho, Adams",Idaho,Adams,"Idaho, Adams",3477,3495,3559,3624,3693,3817,3788,3949,4021,4000,"3,962","3,981","3,908","3,863","3,883","3,891","3,941",Adams
"Idaho, Bannock",Idaho,Bannock,"Idaho, Bannock",75728,76296,76487,76312,76834,77419,78491,79338,80609,81994,"83,020","83,641","83,755","83,455","83,536","84,184","84,676",Bannock
"Idaho, Bear Lake",Idaho,Bear Lake,"Idaho, Bear Lake",6424,6394,6219,6219,6170,6077,6071,6049,6027,6014,"5,969","5,956","5,892","5,948","5,926","5,879","5,927",Bear Lake
"Idaho, Benewah",Idaho,Benewah,"Idaho, Benewah",9186,8968,8917,8901,8907,9053,9260,9296,9385,9286,"9,290","9,173","9,126","9,030","9,032","8,996","9,021",Benewah
"Idaho, Bingham",Idaho,Bingham,"Idaho, Bingham",41753,42073,42101,42555,42702,43173,43396,43816,44414,45087,"45,765","45,893","45,510","45,423","45,214","45,057","45,315",Bingham
"Idaho, Blaine",Idaho,Blaine,"Idaho, Blaine",19115,19755,20189,20557,20811,20897,21082,21169,21477,21590,"21,295","21,083","21,127","21,325","21,455","21,636","22,062",Blaine
"Idaho, Boise",Idaho,Boise,"Idaho, Boise",6702,6733,6854,6977,7004,6981,7151,7229,7148,7051,"7,005","6,986","6,790","6,720","6,779","6,963","7,095",Boise
"Idaho, Bonner",Idaho,Bonner,"Idaho, Bonner",36950,36980,37634,38382,38836,39576,40127,40738,40966,40809,"40,902","40,782","40,347","40,525","41,289","41,600","42,357",Bonner
"Idaho, Bonneville",Idaho,Bonneville,"Idaho, Bonneville",82968,83907,85060,86846,89514,91709,94756,97890,100811,103016,"104,675","105,813","106,764","107,369","108,236","109,849","112,118",Bonneville
"Idaho, Boundary",Idaho,Boundary,"Idaho, Boundary",9913,9816,9834,9960,10163,10303,10530,10754,10831,10819,"10,999","10,823","10,817","10,853","10,956","11,299","11,701",Boundary
"Idaho, Butte",Idaho,Butte,"Idaho, Butte",2894,2853,2906,2842,2812,2825,2786,2838,2846,2835,"2,915","2,833","2,760","2,667","2,658","2,566","2,572",Butte
"Idaho, Camas",Idaho,Camas,"Idaho, Camas",968,1000,1025,1029,1022,1069,1073,1103,1120,1133,"1,116","1,115","1,085","1,043","1,054","1,070","1,082",Camas
"Idaho, Canyon",Idaho,Canyon,"Idaho, Canyon",133082,139179,145160,151395,157130,163947,172188,179645,184996,187357,"189,347","191,354","193,734","198,590","202,440","206,842","211,381",Canyon
"Idaho, Caribou",Idaho,Caribou,"Idaho, Caribou",7281,7326,7161,7105,7106,6963,6886,6873,6840,6922,"6,974","6,844","6,771","6,787","6,794","6,733","6,867",Caribou
"Idaho, Cassia",Idaho,Cassia,"Idaho, Cassia",21393,21557,21504,21466,21323,21372,21281,21568,22134,22476,"23,080","23,106","23,263","23,344","23,503","23,499","23,479",Cassia
"Idaho, Clark",Idaho,Clark,"Idaho, Clark",1024,965,948,892,923,925,947,948,981,961,980,954,884,879,889,886,870,Clark
"Idaho, Clearwater",Idaho,Clearwater,"Idaho, Clearwater",8930,8689,8579,8596,8610,8659,8776,8788,8764,8761,"8,727","8,609","8,579","8,568","8,561","8,554","8,651",Clearwater
"Idaho, Custer",Idaho,Custer,"Idaho, Custer",4336,4223,4143,4116,4129,4084,4155,4200,4300,4363,"4,357","4,325","4,327","4,225","4,132","4,059","4,084",Custer
"Idaho, Elmore",Idaho,Elmore,"Idaho, Elmore",28610,27613,27047,25972,26355,25919,25927,26595,26930,26769,"27,121","26,221","26,287","26,267","26,226","25,826","26,137",Elmore
"Idaho, Franklin",Idaho,Franklin,"Idaho, Franklin",11350,11463,11687,11718,11959,12079,12085,12277,12570,12757,"12,781","12,810","12,798","12,802","12,910","12,955","13,320",Franklin
"Idaho, Fremont",Idaho,Fremont,"Idaho, Fremont",11769,11891,12029,12370,12640,12610,12770,13005,13112,13173,"13,225","13,109","12,966","12,872","12,803","12,812","12,914",Fremont
"Idaho, Gem",Idaho,Gem,"Idaho, Gem",15215,15393,15488,15693,15925,16304,16632,16833,16941,16809,"16,687","16,692","16,630","16,569","16,646","16,685","16,959",Gem
"Idaho, Gooding",Idaho,Gooding,"Idaho, Gooding",14196,14215,14342,14483,14562,14614,14749,14963,15216,15270,"15,471","15,355","15,250","15,169","15,086","15,188","15,135",Gooding
"Idaho, Idaho",Idaho,Idaho,"Idaho, Idaho",15470,15447,15495,15410,15555,15522,15638,15770,15896,16138,"16,310","16,462","16,444","16,249","16,275","16,301","16,236",Idaho
"Idaho, Jefferson",Idaho,Jefferson,"Idaho, Jefferson",19193,19322,19802,20249,20842,21674,22439,23475,24696,25770,"26,223","26,313","26,641","26,804","26,944","27,127","27,830",Jefferson
"Idaho, Jerome",Idaho,Jerome,"Idaho, Jerome",18493,18579,18730,18971,19331,19654,20111,20572,21217,22039,"22,442","22,520","22,578","22,768","22,926","22,971","23,433",Jerome
"Idaho, Kootenai",Idaho,Kootenai,"Idaho, Kootenai",109487,111542,113667,116512,121002,125972,129510,132811,135627,137407,"138,848","140,932","142,084","143,897","146,529","149,367","153,019",Kootenai
"Idaho, Latah",Idaho,Latah,"Idaho, Latah",34878,35285,35183,35473,35864,35958,36251,36179,36524,36939,"37,255","37,855","38,094","38,220","38,517","38,796","39,050",Latah
"Idaho, Lemhi",Idaho,Lemhi,"Idaho, Lemhi",7724,7593,7590,7600,7660,7708,7795,7780,7902,7870,"7,953","7,986","7,768","7,716","7,724","7,737","7,709",Lemhi
"Idaho, Lewis",Idaho,Lewis,"Idaho, Lewis",3740,3599,3673,3671,3669,3665,3712,3707,3739,3832,"3,820","3,806","3,820","3,805","3,813","3,791","3,846",Lewis
"Idaho, Lincoln",Idaho,Lincoln,"Idaho, Lincoln",4051,4159,4242,4372,4441,4694,4762,4938,5041,5151,"5,206","5,132","5,262","5,329","5,331","5,307","5,303",Lincoln
"Idaho, Madison",Idaho,Madison,"Idaho, Madison",27519,27699,28478,29997,31990,33807,34984,35771,36564,37121,"37,592","37,908","37,662","37,527","37,900","37,989","38,972",Madison
"Idaho, Minidoka",Idaho,Minidoka,"Idaho, Minidoka",20103,19603,19542,19389,19167,19013,19046,19184,19393,19884,"20,083","20,207","20,152","20,400","20,339","20,430","20,613",Minidoka
"Idaho, Nez Perce",Idaho,Nez Perce,"Idaho, Nez Perce",37398,36999,37111,37696,37798,38071,38513,38720,38810,39049,"39,315","39,438","39,504","39,798","39,841","39,995","40,136",Nez Perce
"Idaho, Oneida",Idaho,Oneida,"Idaho, Oneida",4135,4176,4125,4089,4086,4137,4146,4167,4201,4248,"4,290","4,233","4,225","4,257","4,178","4,248","4,296",Oneida
"Idaho, Owyhee",Idaho,Owyhee,"Idaho, Owyhee",10690,10877,10876,11033,10990,10993,11114,11255,11515,11547,"11,473","11,376","11,409","11,394","11,288","11,288","11,364",Owyhee
"Idaho, Payette",Idaho,Payette,"Idaho, Payette",20624,20796,20966,21133,21139,21484,21916,22437,22618,22665,"22,637","22,547","22,675","22,550","22,754","22,790","22,888",Payette
"Idaho, Power",Idaho,Power,"Idaho, Power",7484,7422,7371,7293,7432,7426,7564,7532,7564,7628,"7,872","7,780","7,830","7,791","7,729","7,687","7,681",Power
"Idaho, Shoshone",Idaho,Shoshone,"Idaho, Shoshone",13762,13464,13044,12897,12781,12912,13014,12949,13031,12862,"12,749","12,662","12,703","12,673","12,375","12,440","12,416",Shoshone
"Idaho, Teton",Idaho,Teton,"Idaho, Teton",6098,6455,6849,7193,7460,7814,8270,8932,9627,10041,"10,151","10,161","10,125","10,399","10,436","10,725","11,165",Teton
"Idaho, Twin Falls",Idaho,Twin Falls,"Idaho, Twin Falls",64360,64556,65473,67092,68309,69833,71974,73738,75143,76271,"77,545","78,100","78,550","79,894","80,986","82,245","83,819",Twin Falls
"Idaho, Valley",Idaho,Valley,"Idaho, Valley",7659,7773,7762,8003,8283,8779,9480,9929,10060,9975,"9,788","9,636","9,536","9,575","9,793","10,043","10,422",Valley
"Idaho, Washington",Idaho,Washington,"Idaho, Washington",9970,9936,9904,9904,9947,9995,10025,10027,10095,10173,"10,177","10,136","10,030","9,916","9,955","9,891","10,032",Washington
"Illinois, Adams",Illinois,Adams,"Illinois, Adams",68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,"67,160","67,211","67,139","66,999","66,966","66,835","66,475",Adams
"Illinois, Alexander",Illinois,Alexander,"Illinois, Alexander",9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,"8,206","7,992","7,717","7,238","7,083","6,762","6,459",Alexander
"Illinois, Bond",Illinois,Bond,"Illinois, Bond",17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,"17,787","17,726","17,537","17,331","17,070","16,686","16,546",Bond
"Illinois, Boone",Illinois,Boone,"Illinois, Boone",42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,"54,101","54,131","53,735","53,747","53,714","53,579","53,570",Boone
"Illinois, Brown",Illinois,Brown,"Illinois, Brown",6977,6984,6925,6997,6968,6917,6875,6833,6896,6963,"6,919","6,882","6,890","6,864","6,832","6,753","6,637",Brown
"Illinois, Bureau",Illinois,Bureau,"Illinois, Bureau",35456,35181,35057,35080,34951,34977,35183,35153,35078,35058,"34,959","34,625","34,342","34,108","33,856","33,491","33,396",Bureau
"Illinois, Calhoun",Illinois,Calhoun,"Illinois, Calhoun",5086,5045,4987,5122,5138,5163,5174,5160,5084,5082,"5,096","5,049","4,985","5,008","4,925","4,860","4,869",Calhoun
"Illinois, Carroll",Illinois,Carroll,"Illinois, Carroll",16611,16405,16312,16267,16102,15914,15866,15734,15638,15476,"15,394","15,229","15,121","14,969","14,783","14,642","14,596",Carroll
"Illinois, Cass",Illinois,Cass,"Illinois, Cass",13675,13677,13549,13674,13640,13670,13611,13699,13660,13623,"13,633","13,629","13,427","13,293","13,081","12,843","12,672",Cass
"Illinois, Champaign",Illinois,Champaign,"Illinois, Champaign",180041,181956,184198,187013,188617,190659,193844,196621,197570,199968,"201,546","203,197","204,630","206,425","207,942","209,382","210,198",Champaign
"Illinois, Christian",Illinois,Christian,"Illinois, Christian",35383,35240,35181,35172,35308,35165,35076,35034,34974,34808,"34,763","34,702","34,518","34,148","33,813","33,463","33,230",Christian
"Illinois, Clark",Illinois,Clark,"Illinois, Clark",16969,16829,16844,16750,16718,16728,16669,16682,16634,16431,"16,291","16,202","16,259","16,095","16,047","15,868","15,857",Clark
"Illinois, Clay",Illinois,Clay,"Illinois, Clay",14409,14260,14228,14194,14142,14134,14061,13975,13971,13826,"13,826","13,725","13,714","13,554","13,445","13,401","13,314",Clay
"Illinois, Clinton",Illinois,Clinton,"Illinois, Clinton",35565,35792,36003,36231,36495,36681,37051,37160,37472,37459,"37,843","38,031","37,918","37,731","37,646","37,665","37,599",Clinton
"Illinois, Coles",Illinois,Coles,"Illinois, Coles",53114,52549,52454,52974,53182,53016,53359,53492,53454,53612,"53,866","53,624","53,318","53,053","52,523","52,179","51,783",Coles
"Illinois, Cook",Illinois,Cook,"Illinois, Cook",5373418,5360562,5328775,5294739,5252021,5207615,5165495,5154235,5161831,5181728,"5,199,016","5,219,780","5,239,351","5,252,875","5,254,675","5,244,088","5,224,272",Cook
"Illinois, Crawford",Illinois,Crawford,"Illinois, Crawford",20411,20363,20204,20106,20059,20051,19966,19886,19831,19845,"19,801","19,776","19,588","19,435","19,285","19,255","19,133",Crawford
"Illinois, Cumberland",Illinois,Cumberland,"Illinois, Cumberland",11318,11238,11171,11066,11078,11057,11103,11077,11100,11044,"11,053","11,080","10,950","10,904","10,923","10,860","10,868",Cumberland
"Illinois, De Witt",Illinois,De Witt,"Illinois, De Witt",16800,16792,16673,16686,16671,16716,16792,16742,16733,16538,"16,590","16,548","16,491","16,373","16,217","16,184","16,137",De Witt
"Illinois, DeKalb",Illinois,DeKalb,"Illinois, DeKalb",89237,90545,91951,94096,96106,98438,101437,103746,104601,105146,"105,145","104,450","104,365","104,202","104,560","104,195","104,080",DeKalb
"Illinois, Douglas",Illinois,Douglas,"Illinois, Douglas",19964,20032,20017,20010,20100,20101,20111,20061,19970,19949,"19,983","19,871","19,888","19,861","19,906","19,835","19,727",Douglas
"Illinois, DuPage",Illinois,DuPage,"Illinois, DuPage",906284,911474,913880,914078,913940,911378,908685,907426,909798,912732,"917,983","924,831","928,666","932,231","933,425","933,609","931,256",DuPage
"Illinois, Edgar",Illinois,Edgar,"Illinois, Edgar",19582,19465,19249,19085,19041,18987,18986,18929,18768,18668,"18,508","18,391","18,158","17,941","17,807","17,603","17,519",Edgar
"Illinois, Edwards",Illinois,Edwards,"Illinois, Edwards",6963,6879,6856,6883,6825,6796,6694,6728,6710,6675,"6,734","6,669","6,721","6,687","6,628","6,511","6,536",Edwards
"Illinois, Effingham",Illinois,Effingham,"Illinois, Effingham",34248,34334,34281,34408,34497,34365,34289,34191,34173,34275,"34,224","34,270","34,273","34,217","34,122","34,202","34,170",Effingham
"Illinois, Fayette",Illinois,Fayette,"Illinois, Fayette",21827,21695,21814,21514,21056,21848,21925,21890,22006,22089,"22,131","22,378","22,163","22,195","22,076","22,036","21,570",Fayette
"Illinois, Ford",Illinois,Ford,"Illinois, Ford",14195,14148,14118,14095,14135,14092,14096,14213,14095,14084,"14,081","13,881","13,879","13,672","13,540","13,529","13,352",Ford
"Illinois, Franklin",Illinois,Franklin,"Illinois, Franklin",39003,38798,38893,39066,39298,39587,39560,39473,39546,39482,"40,035","40,033","39,865","39,555","39,446","39,383","39,075",Franklin
"Illinois, Fulton",Illinois,Fulton,"Illinois, Fulton",38216,37880,37587,37705,37630,37452,37387,37272,37224,37090,"37,076","36,910","36,587","36,323","35,995","35,713","35,473",Fulton
"Illinois, Gallatin",Illinois,Gallatin,"Illinois, Gallatin",6405,6279,6144,6117,6071,6030,5980,5883,5796,5631,"5,573","5,490","5,390","5,386","5,278","5,221","5,157",Gallatin
"Illinois, Greene",Illinois,Greene,"Illinois, Greene",14752,14620,14622,14558,14411,14382,14167,14001,13956,13926,"13,890","13,856","13,656","13,633","13,415","13,345","13,123",Greene
"Illinois, Grundy",Illinois,Grundy,"Illinois, Grundy",37704,38320,38865,39819,41410,44181,46534,48175,49166,49702,"50,154","50,099","50,160","50,187","50,287","50,363","50,317",Grundy
"Illinois, Hamilton",Illinois,Hamilton,"Illinois, Hamilton",8602,8527,8440,8431,8525,8471,8497,8416,8454,8448,"8,446","8,425","8,388","8,348","8,314","8,248","8,186",Hamilton
"Illinois, Hancock",Illinois,Hancock,"Illinois, Hancock",20148,20069,19794,19673,19577,19479,19412,19359,19192,19080,"19,091","18,999","18,829","18,544","18,324","18,216","18,205",Hancock
"Illinois, Hardin",Illinois,Hardin,"Illinois, Hardin",4777,4765,4723,4724,4664,4615,4508,4462,4386,4344,"4,319","4,294","4,281","4,177","4,149","4,067","3,991",Hardin
"Illinois, Henderson",Illinois,Henderson,"Illinois, Henderson",8172,8150,8078,7935,7912,7786,7614,7565,7463,7340,"7,343","7,216","7,043","6,963","7,011","6,997","6,886",Henderson
"Illinois, Henry",Illinois,Henry,"Illinois, Henry",51078,50714,50454,50714,50509,50572,50392,50528,50492,50536,"50,452","50,283","50,249","49,917","49,824","49,638","49,498",Henry
"Illinois, Iroquois",Illinois,Iroquois,"Illinois, Iroquois",31386,31022,30805,30688,30493,30548,30308,30282,30228,29863,"29,701","29,500","29,267","28,940","28,719","28,522","28,163",Iroquois
"Illinois, Jackson",Illinois,Jackson,"Illinois, Jackson",59633,59530,58949,59282,59462,60006,60170,59518,59605,59664,"60,373","60,369","59,066","59,760","59,359","59,214","58,726",Jackson
"Illinois, Jasper",Illinois,Jasper,"Illinois, Jasper",10067,10056,10015,9970,10010,9905,9807,9776,9786,9701,"9,725","9,754","9,672","9,607","9,633","9,630","9,583",Jasper
"Illinois, Jefferson",Illinois,Jefferson,"Illinois, Jefferson",40041,39874,39805,39730,39638,39624,39545,39412,39277,38970,"38,755","38,749","38,658","38,641","38,374","38,272","38,214",Jefferson
"Illinois, Jersey",Illinois,Jersey,"Illinois, Jersey",21642,21751,22001,22126,22374,22500,22736,22838,23084,23060,"22,995","22,879","22,710","22,599","22,492","22,260","21,947",Jersey
"Illinois, Jo Daviess",Illinois,Jo Daviess,"Illinois, Jo Daviess",22296,22486,22480,22701,22646,22680,22828,22758,22715,22685,"22,648","22,640","22,543","22,399","22,341","22,066","21,814",Jo Daviess
"Illinois, Johnson",Illinois,Johnson,"Illinois, Johnson",12836,12794,12454,12969,12903,12816,12889,12792,12671,12604,"12,604","12,855","12,856","12,867","12,887","12,777","12,454",Johnson
"Illinois, Kane",Illinois,Kane,"Illinois, Kane",407847,423975,440437,453929,466884,475384,485179,495752,504437,511273,"516,068","519,110","520,669","522,626","525,625","528,760","530,726",Kane
"Illinois, Kankakee",Illinois,Kankakee,"Illinois, Kankakee",103842,104490,104932,105794,106744,107917,109735,111499,112658,113107,"113,418","113,519","112,974","112,735","111,883","111,750","111,080",Kankakee
"Illinois, Kendall",Illinois,Kendall,"Illinois, Kendall",55311,58437,62523,67740,73723,81107,90740,100917,108559,112490,"115,373","116,814","118,246","119,566","121,374","122,878","124,535",Kendall
"Illinois, Knox",Illinois,Knox,"Illinois, Knox",55783,55329,54963,54425,53909,53513,53196,52894,52836,52817,"52,912","52,705","52,302","52,129","51,944","51,370","50,917",Knox
"Illinois, LaSalle",Illinois,LaSalle,"Illinois, LaSalle",111600,112212,111904,110949,112135,112565,113139,113794,114171,113999,"113,823","113,533","112,918","112,430","111,660","111,019","110,215",LaSalle
"Illinois, Lake",Illinois,Lake,"Illinois, Lake",648150,658986,668022,668760,677735,684419,689891,692995,697369,701042,"704,170","701,642","702,083","704,207","704,294","704,611","704,158",Lake
"Illinois, Lawrence",Illinois,Lawrence,"Illinois, Lawrence",15432,15527,16045,16455,16562,16910,16730,16952,16935,16802,"16,940","16,901","16,728","16,728","16,562","16,465","16,182",Lawrence
"Illinois, Lee",Illinois,Lee,"Illinois, Lee",36092,36100,35825,35586,35704,35635,35905,36191,36272,36189,"35,983","35,609","35,216","35,121","34,910","34,521","34,494",Lee
"Illinois, Livingston",Illinois,Livingston,"Illinois, Livingston",39751,39881,39519,39095,39145,39062,38978,39069,39071,39054,"38,854","38,805","38,511","37,394","37,036","36,605","36,107",Livingston
"Illinois, Logan",Illinois,Logan,"Illinois, Logan",31161,30934,30873,30958,30981,30795,30562,30498,30513,30342,"30,283","30,270","30,358","29,826","29,660","29,284","29,166",Logan
"Illinois, Macon",Illinois,Macon,"Illinois, Macon",114499,113604,112564,111572,111181,111083,110808,110751,110588,110732,"110,787","110,684","110,134","109,561","108,515","107,343","106,383",Macon
"Illinois, Macoupin",Illinois,Macoupin,"Illinois, Macoupin",48972,48788,48719,48690,48612,48418,48176,48195,48092,47630,"47,797","47,739","47,054","46,680","46,208","45,876","45,691",Macoupin
